Eta,Main Hobbies,Height
22,Gaming,1.73
22,CTFs,1.8
23,Crafting,1.72
23,Workout,1.8
21,Football,1.68
23,Skiing,1.81
23,Pro gaming,1.86
24,Reading,1.71
24,Gaming,1.91
23,Football,1.8
21,Longboard,1.65
25,Sports,1.82
22,Gym,1.95
22,Gaming,1.9
22,Gaming,1.77
25,Sports,1.7
21,Playing music,1.78
21,Listening to Music,1.91
21,Reading,1.82
23,Sports,1.9
22,Gym,
21,Gaming,
23,Sports,Watching movies
24,Dancing,Cooking
25,Sports,Sports
23,Music,Sport
22,Football,Trekking
22,Travel,Traveling
22,Sports,Sports
27,Climbing,Music
23,Videogames,Hiking
24,Listening to Music,Cooking
22,Workout,Music
22,Reading,Gym
22,Listening to Music,Football
23,Trekking,Sport
27,Gym,Gym
23,Music,Music
25,Motorbike,Gaming
23,Gaming,Gaming
